car_id,user_id,manufacturer,year,model
1,1,Volkswagen,1998,Golf
2,2,Honda,2005,Civic
3,3,Honda,2012,Civic
4,5,Toyota,2014,Prius
5,6,Toyota,2003,Camry
6,9,Toyota,1995,Corolla
7,11,Honda,1998,Accord
8,12,Honda,2005,Accord
9,13,Volkswagen,2012,Jetta
10,15,Volkswagen,2014,Jetta
11,16,Volkswagen,2003,Toureq
12,19,Volkswagen,1995,Toureq
13,21,Mazda,1998,3
14,22,Mazda,2005,5
15,24,Mazda,2012,6
16,25,Mazda,2014,2
17,28,Mazda,2003,2
18,31,Mazda,1995,2
19,32,Volkswagen,1998,Jetta
20,33,Volkswagen,2005,Toureq
21,35,Mazda,2012,2
22,36,Volkswagen,2014,Jetta
23,39,Volkswagen,2003,Toureq
24,41,Mazda,1995,2
25,42,Mazda,1998,2
26,44,Mazda,2005,5
27,45,Mazda,2012,6
28,48,Mazda,2014,2
29,51,Volkswagen,2003,Golf
30,52,Honda,1995,Civic
31,53,Honda,2012,Civic
32,55,Toyota,2014,Prius
33,56,Toyota,1998,Camry
34,59,Volkswagen,2005,Toureq
35,61,Mazda,2012,2
36,62,Volkswagen,2014,Golf
37,64,Honda,2003,Civic
38,65,Honda,1995,Civic
39,68,Toyota,2014,Prius
40,71,Toyota,1998,Camry
41,72,Mazda,2005,6
42,73,Mazda,2012,2
43,75,Honda,2014,Civic
44,76,Toyota,2003,Prius
45,79,Toyota,1995,Camry
46,81,Toyota,1998,Corolla
47,82,Honda,2005,Accord
48,84,Mazda,2012,2
49,85,Mazda,2014,5
50,88,Mazda,2003,6
51,91,Mazda,1995,2
52,92,Honda,2012,Civic
53,93,Toyota,2014,Prius
54,95,Toyota,1998,Camry
55,96,Toyota,2005,Corolla
56,99,Honda,2012,Accord
